index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_misses,web_cache_ref,web_cpupercent,web_cs,web_disk,web_kvm_exit,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,index_prev
46,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.295,235131758,7510303.5,89551212,23.2,5978,79.999,22431,93253882,9802566.5,3292.301,5.173,15729730,5957,1765202.5,0.001,;4;11,2,base,0.000001,189887,0.001,22.611,2,27.845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
47,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.277,247330004,8386127,92083898,30.885,6330,61.012,25146,171774936,40947716,3293.461,142.935,24622635,6330,1414326,0.001,;4;11,2,base,0.200917,0.945101709,204.799,21.188,20,28.738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.459,46
48,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.336,282223800.5,6953597.5,99331569,25.147,5086,110.003,18724,92673385,16410207.5,3357.586,4.855,30800696.5,5079,2268424,0.001,;5;4,2,base,0.000001,189887,0.001,21.182,2,26.109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
49,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.297,240292679,7516616,94210746.75,32.186,5466,36.002,21690,133603629.5,42064735,3356.203,148.513,13748941.75,5460,3496414.25,0.001,;5;4,2,base,0.201342,0.943106754,205.984,21.578,20,27.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.671,48
50,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.261,168556873.5,5493431.5,70081985,27.025,3808,31.004,13711,58344850,12271527,3353.945,87.102,56942721,3797,2563889,0.001,;6;8,2,base,0.000001,189887,0.001,21.843,2,29.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
51,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.33,268522252.5,7433955,97201276.5,33.319,4984,28.999,19643,125105929.5,37518856.5,3367.902,151.117,53503858.5,4980,2947170.5,0.001,;6;8,2,base,0.200116,0.948884647,205.03,131.462,20,199.558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.058,50
52,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.313,283808493.5,8628537.5,103382708,22.132,6913,87.997,27411,97703301.5,12152386.5,3360.334,5.16,89485106,6906,1719559,0.001,;7;12,2,base,0.000001,189887,0.001,24.903,2,30.098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
53,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.315,297261000.5,9376909.5,110203036,31.614,7115,10,32600,145981172,32619153.5,3353.379,143.088,26481375,7106,668198.5,0.001,;7;12,2,base,0.200677,0.946232005,203.656,21.529,20,26.788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.338,52
54,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.29,230438805.5,7536731.5,90912677,23.248,6122,6,22985,93423926.5,11062440.5,3353.172,4.883,10494419.5,6112,2730990,0.001,;8;19,2,base,0.000001,189887,0.001,22.076,2,27.333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
55,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.32,282919874.5,8433393.5,102080266,32.313,6282,28,24167,166048254,40214947,3350.93,148.162,14991400,6276,8208891,0.001,;8;19,2,base,0.199619,0.951247126,202.96,22.19,20,27.303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.809,54
56,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.338,269216976,7608069.5,103007964,24.404,5700,10,21416,90097254.5,11452949,3346.551,4.913,87082181.5,5688,5795962.5,0.001,;9;8,2,base,0.000001,189887,0.001,23.168,2,28.319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
57,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.332,311731100.5,8444847.5,109119255.5,32.551,5854,48.502,22167,163838702.5,37667464,3346.02,144.689,12724241.5,5853,4664019,0.001,;9;8,2,base,0.200927,0.945054672,205.524,28.413,20,33.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.463,56
58,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.258,241917987,9102587,95564043,19.27,7743,13.001,28574,125303062.5,16826127,3358.406,5.004,21727387.5,7735,705446,0.001,;10;17,2,base,0.000001,189887,0.001,24.657,2,30.172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
59,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.304,315381981.5,10403666,121242828,27.612,8059,17.002,29418,192689522.5,40167125,3356.055,144.675,11594500.5,8050,1781701.5,0.001,;10;17,2,base,0.201238,0.943594152,205.106,22.174,20,27.284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.619,58
60,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.283,227071705,7762711.75,95143255,22.45,6212,16.001,21905,86165483,13969073.75,3408.23,4.962,64754978.5,6206,2813317.25,0.001,;11;6,2,base,0.000001,189887,0.001,24.554,2,29.725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
61,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.297,250683336.5,8283684,100498096,30.608,6042,99.001,23183,126119072,37701177,3409.547,149.174,8119700,6043,1106444.5,0.001,;11;6,2,base,0.205744,0.922928494,209.435,24.356,20,30.585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.872,60
62,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.317,288292583.5,9798597.5,111380245,19.446,8233,42.997,30415,105373746,10780111,3416.797,5.061,51478407.5,8227,901412,0.001,;12;16,2,base,0.000001,189887,0.001,25.261,2,32.013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
63,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.339,354888113,10918438,131055618.5,29.286,8377,89.52,32668,175962559.5,42663543.5,3417.871,144.832,25045088.5,8367,7503058,0.001,;12;16,2,base,0.198799,0.955170801,204.138,25.047,20,33.012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.4,62
64,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.315,276310914,8197069,100811211,22.562,6751,77.997,24852,94417108.5,10535155,3421.184,4.878,30141359.5,6743,3188731,0.001,;13;20,2,base,0.000001,189887,0.001,23.505,2,29.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
65,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.321,275001915.5,8052489,103228284.5,31.043,6311,5,24669,126006175.5,24732589,3413.363,156.617,13137077.5,6306,1402892,0.001,;13;20,2,base,0.202071,0.939704361,205.508,22.112,20,28.376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.035,64
66,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.34,353481402,11381307.5,130139950.5,20.501,11562,13,44271,129575142,18028392,3407.242,4.894,35869006.5,11552,2132952.5,0.001,;14;19,2,base,0.000001,189887,0.001,21.265,2,27.771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
