index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,interference_prev,index_prev
3975,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2623558110.0,421850.0,120496882.0,74.561,1147,77.0,517948.5,0,3990681.806,1676.688,1.92,64280234.5,1142,16610345.5,0.001,;4;8,2,base,0.095,0.968421052632,0.095,18.133,4,24.231,0.048,;4;8;17,2016.0
3976,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.66,1983088726.0,313328.0,87619064.0,50.187,590,2.0,381407.0,0,7460784.97,885.445,3.116,5371240.0,590,12013524.0,0.001,;5,2,base,0.092,1.0,0.092,14.55,4,20.24,0.046,;5;17,1274.0
3977,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.634,2985069137.0,511719.0,137273877.0,74.875,1227,116.997,589715.5,0,5260236.917,1672.473,1.805,18286036.5,1224,17664529.5,0.001,;5;13,2,base,0.096,0.958333333333,0.096,17.149,4,22.688,0.048,;5;13;17,3109.0
3978,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2664419810.0,510451.0,122087209.0,75.031,1080,76.0,518092.5,0,4872874.515,1682.379,2.089,15091595.0,1080,15590376.0,0.001,;20;19,2,base,0.093,0.989247311828,0.094,18.194,4,25.116,0.046,;5;4;17,4383.0
3979,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.645,1761024954.0,245430.0,82147192.5,49.875,743,29.0,341790.0,0,6820228.013,855.543,2.419,6695905.0,743,11369883.0,0.001,;6,2,base,0.093,0.989247311828,0.095,14.33,4,21.696,0.046,;6;17,1517.0
3980,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.644,2910506773.0,575858.0,133257231.5,74.969,1220,105.001,571341.0,0,5150284.209,1697.891,2.634,22027003.5,1218,31015204.5,0.001,;6;13,2,base,0.094,0.978723404255,0.096,19.607,4,25.629,0.047,;6;13;17,3115.0
3981,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.635,2865530637.0,604086.5,131698370.0,74.718,1083,94.0,568819.5,0,7023695.819,1618.965,1.971,43282730.0,1077,18402984.5,0.001,;6;14,2,base,0.094,0.978723404255,0.095,18.548,4,24.872,0.047,;6;14;17,3337.0
3982,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.636,2661509515.0,442590.0,125383957.0,74.782,988,60.0,531463.0,0,3120211.612,1683.605,2.253,10559149.5,988,19631095.5,0.001,;20;11,2,base,0.095,0.968421052632,0.095,17.148,4,23.434,0.048,;6;19;17,2664.0
3983,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.639,2445200209.0,564435.0,113141037.5,75.313,1197,90.997,470301.0,0,7037171.103,1639.371,2.627,58234225.0,1197,25596373.0,0.001,;6;20,2,base,0.096,0.958333333333,0.097,18.622,4,25.031,0.048,;6;20;17,4619.0
3984,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.645,1862698579.0,196498.0,83618330.5,50.627,741,48.0,358664.0,0,2119930.094,839.516,2.309,57929615.0,741,9126447.5,0.001,;7,2,base,0.092,1.0,0.092,14.367,4,19.916,0.046,;7;17,1734.0
3985,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.638,2870991449.0,406313.0,132337418.0,74.032,1188,113.0,563790.25,0,2955576.819,1675.668,1.992,19558152.25,1187,16637057.5,0.001,;7;1,2,base,0.094,0.978723404255,0.094,16.385,4,22.416,0.047,;7;1;17,181.0
3986,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.641,2974679660.0,445352.0,136682693.0,74.906,1025,103.0,584054.0,0,2858052.403,1683.465,1.963,20220402.0,1025,19228201.0,0.001,;7;12,2,base,0.094,0.978723404255,0.095,19.184,4,28.946,0.047,;7;12;17,2907.0
3987,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.642,3009687196.0,481169.0,139373708.5,74.906,1090,89.499,588534.0,0,2908087.19,1587.328,2.201,10770843.5,1083,27838978.0,0.001,;7;16,2,base,0.095,0.968421052632,0.097,21.647,4,27.332,0.048,;7;16;17,3763.0
3988,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.656,2729257052.0,385675.0,119012076.0,74.157,1170,74.999,509423.0,0,3939318.596,1636.844,2.292,11773387.0,1170,21799370.5,0.001,;7;3,2,base,0.095,0.968421052632,0.096,17.757,4,24.007,0.048,;7;3;17,811.0
3989,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.634,2733074487.0,453314.0,126696202.0,75.219,1004,59.0,533054.5,0,4252195.103,1662.09,2.243,45290797.5,1004,21137732.5,0.001,;7;4,2,base,0.1,0.92,0.101,17.961,4,23.647,0.05,;7;4;17,1130.0
3990,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,1746493568.0,163827.0,81553184.0,49.435,598,34.0,344815.0,0,3842131.445,870.25,2.006,12088715.5,599,7968127.0,0.001,;8,2,base,0.094,0.978723404255,0.094,14.842,4,20.613,0.047,;8;17,1942.0
3991,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.641,2841605863.0,435347.0,129521426.0,74.25,1019,92.997,562604.5,0,3231988.903,1677.309,1.95,38537955.5,1018,17497497.5,0.001,;8;1,2,base,0.094,0.978723404255,0.094,15.446,4,21.61,0.047,;8;1;17,193.0
3992,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.636,2843904989.0,460126.0,132026769.0,74.969,1116,132.0,563055.0,0,3402948.238,1633.219,2.24,20100183.0,1115,19483635.5,0.001,;8;10,2,base,0.092,1.0,0.093,20.125,4,29.34,0.046,;8;10;17,2470.0
3993,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.635,2827023672.0,487223.0,130852319.0,75.219,1150,147.999,554644.0,0,3404220.589,1701.793,2.682,74445514.5,1145,19762605.5,0.001,;8;13,2,base,0.096,0.958333333333,0.096,22.033,4,28.693,0.048,;8;13;17,3125.0
3994,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,2839606460.0,430537.0,130566860.5,74.906,1171,62.001,559801.5,0,2970563.325,1623.344,1.679,20356338.0,1170,19223865.0,0.001,;8;16,2,base,0.094,0.978723404255,0.097,174.291,4,179.423,0.047,;8;16;17,3771.0
3995,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.642,2778131897.0,457013.0,124324024.5,74.282,1103,59.001,533405.5,0,3941641.831,1627.359,1.943,45431853.5,1103,17512094.0,0.001,;8;3,2,base,0.094,0.978723404255,0.096,15.935,4,21.014,0.047,;8;3;17,821.0
