TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482822435339,144.918,100.149,129.59.105.87,3
1482822435536,143.808,100.819,129.59.105.87,3
1482822435733,139.855,99.29,129.59.105.87,3
1482822435935,142.3,100.602,129.59.105.87,3
1482822436133,139.967,99.862,129.59.105.87,3
1482822436339,145.61,100.887,129.59.105.87,3
1482822436537,144.124,100.276,129.59.105.87,3
1482822436738,143.971,101.017,129.59.105.87,3
1482822436939,143.21,100.179,129.59.105.87,3
1482822437133,140.176,99.134,129.59.105.87,3
1482822437343,148.688,100.017,129.59.105.87,3
1482822437566,171.181,133.559,129.59.105.87,3
1482822437759,165.749,123.682,129.59.105.87,3
1482822437983,188.034,149.069,129.59.105.87,3
1482822438171,175.973,135.93,129.59.105.87,3
1482822438341,145.605,100.452,129.59.105.87,3
1482822438541,144.504,100.983,129.59.105.87,3
1482822438738,142.008,99.515,129.59.105.87,3
1482822438936,140.292,100.867,129.59.105.87,3
1482822439139,142.269,101.232,129.59.105.87,3
1482822439338,141.324,101.869,129.59.105.87,3
1482822439537,141.683,101.632,129.59.105.87,3
1482822439737,140.687,100.188,129.59.105.87,3
1482822439940,142.314,101.201,129.59.105.87,3
1482822440143,143.816,100.555,129.59.105.87,3
1482822440338,140.842,100.863,129.59.105.87,3
1482822440545,147.349,101.031,129.59.105.87,3
1482822440769,170.649,131.083,129.59.105.87,3
1482822440989,190.847,149.378,129.59.105.87,3
1482822441143,144.507,100.03,129.59.105.87,3
1482822441368,168.99,124.766,129.59.105.87,3
1482822441538,140.504,100.811,129.59.105.87,3
1482822441792,191.47,147.92,129.59.105.87,3
1482822441990,191.017,151.165,129.59.105.87,3
1482822442172,174.713,134.078,129.59.105.87,3
1482822442378,178.742,135.666,129.59.105.87,3
1482822442544,143.975,101.953,129.59.105.87,3
1482822442744,143.586,99.928,129.59.105.87,3
1482822442941,140.818,100.019,129.59.105.87,3
1482822443144,143.382,99.885,129.59.105.87,3
1482822443347,144.838,99.379,129.59.105.87,3
1482822443541,140.141,100.293,129.59.105.87,3
1482822443739,137.45,100.318,129.59.105.87,3
1482822443943,141.937,100.11,129.59.105.87,3
1482822444147,146.581,102.117,129.59.105.87,3
1482822444341,139.206,99.594,129.59.105.87,3
1482822444546,143.875,100.183,129.59.105.87,3
1482822444742,140.552,99.495,129.59.105.87,3
1482822444945,140.261,101.685,129.59.105.87,3
1482822445147,144.132,100.275,129.59.105.87,3
1482822445341,139.486,99.929,129.59.105.87,3
1482822445546,145.804,101.748,129.59.105.87,3
1482822445746,145.164,98.388,129.59.105.87,3
