Time,Min hop D,Min hop A,Least loaded,CDC,INDICES 2D,INDICES 2A,INDICES 3B,SLO
328,204.9775,174.3375,233.954,276.70775,188.13725,120.89925,168.6465,200
329,220.0745,174.1165,233.70225,276.89025,188.0435,134.404,189.8335,200
330,223.32,175.80775,236.98825,266.5566667,187.8575,141.54975,168.803,200
331,219.12225,175.469,229.81175,277.939,189.99425,133.8256667,170.61025,200
332,203.92625,175.31825,237.324,272.856,190.05725,130.3056,168.11625,200
333,204.538,173.591,239.3205,269.547,188.585,118.0015,177.49175,200
334,203.9615,187.39175,233.7175,288.5016667,185.68325,117.60275,195.85775,200
335,199.8505,177.70225,233.592,276.26075,182.816,131.507,182.81025,200
336,203.8055,168.93875,228.136,279.1663333,181.59025,131.9915,159.12625,200
337,200.767,171.0623333,229.3305,280.91825,179.7555,130.6896667,159.69675,200
338,197.0875,205.4425,225.5355,281.6633333,179.299,132.5744,158.5515,200
339,196.408,214.604,229.82325,286.48125,178.77775,127.014,156.8185,200
340,196.0625,210.787,229.86875,307.9273333,177.766,117.69175,157.3525,200
341,192.54375,216.979,225.861,297.9033333,178.81825,114.676,153.6165,200
342,194.29925,182.1802,222.9625,293.313,177.1725,126.74275,154.186,200
343,195.404,190.333,229.55625,305.077,179.24425,115.5216667,157.60925,200
344,194.63275,212.03475,221.82175,290.123,178.54325,126.088,184.42825,200
345,194.796,182.79625,228.96475,293.77325,178.77425,119.17775,155.8185,200
346,194.90475,197.98875,230.24225,296.737,178.5995,125.80575,168.5935,200
347,194.85775,197.79975,229.77675,293.139,179.773,133.718,168.45175,200
348,196.22075,201.00775,232.26275,299.712,179.76825,123.1342,201.317,200
349,196.5405,168.87475,233.3795,295.7526667,179.521,118.4325,197.6605,200
350,195.03,170.3115,235.33975,291.319,179.5855,121.8095,192.2515,200
351,201.7065,171.598,235.19275,289.74275,178.96525,132.6805,179.11675,200
352,196.79975,205.43025,230.4355,290.293,180.19125,127.937,161.871,200
353,201.74825,195.3243333,232.6425,290.6983333,182.30425,131.8716,167.774,200
354,199.2575,215.3135,237.4225,291.72125,181.9525,122.129,162.69475,200
355,202.22425,202.97775,230.923,292.4986667,181.51375,124.26275,168.907,200
356,198.61925,216.963,238.7525,299.162,182.3215,129.497,180.81125,200
